,name,image,keys,points,calories,summary
57,Juicy Lucy (Stuffed Turkey Cheeseburger),https://www.skinnytaste.com/wp-content/uploads/2019/06/Inside-Out-Turkey-Cheeseburgers-7-260x390.jpg,"['HF', 'KF', 'Q']",9,309.0,"A juicy, stuffed Turkey Cheeseburger (known as a Juicy Lucy) is delicious and easy! Instead of topping your turkey burger with cheese, the cheese is stuffed in the center so it stays melted and gooey."
58,Salad with Berries and Pecans,https://www.skinnytaste.com/wp-content/uploads/2008/03/Baby-Greens-with-Blackberries-and-Pecans-12-260x390.jpg,"['DF', 'GF', 'LC', 'Q', 'V']",4,155.0,"This healthy summer side salad with berries is loaded with sweet, juicy blackberries and raspberries adding a burst of sweetness in every bite. Complimented with a light vinaigrettePecans add the perfect crunch."
59,Grilled Chicken Caprese,https://www.skinnytaste.com/wp-content/uploads/2024/05/Grilled-Chicken-Caprese-9-260x390.jpg,"['GF', 'HP', 'LC', 'Q']",4,284.0,"This 15-minute, high-protein, Grilled Chicken Caprese salad is made with grilled chicken breast cutlets, topped with fresh mozzarella, tomatoes, basil and balsamic glaze, served over a bed of arugula."
60,Chicken Tikka Masala,https://www.skinnytaste.com/wp-content/uploads/2011/06/Chicken-Tikka-Masala-15-260x390.jpg,"['GF', 'HP', 'MP', 'Q']",1,249.0,"This easy Chicken Tikka Masala is made with tender chunks of boneless chicken breasts cooked in an aromatic, creamy yogurt-tomato sauce."
61,"Red, White and Blueberry Cheesecake Cupcakes",https://www.skinnytaste.com/wp-content/uploads/2019/05/Red-White-and-Blue-Cheesecake-Cupcakes-5-260x390.jpg,['V'],5,98.0,"Easy Cheesecake cupcakes made with cream cheese, Greek yogurt with a vanilla wafer crust topped with strawberries and blueberries. "
62,25 Summer Side Dishes,https://www.skinnytaste.com/wp-content/uploads/2023/06/Veggie-Kabobs-7-260x390.jpg,[],,,"Keep it light and fresh with these easy summer side dishes. Made with seasonal ingredients, these sides are colorful, flavorful, and perfect for hot summer days!"
63,Nicoise Salad,https://www.skinnytaste.com/wp-content/uploads/2024/05/Salmon-Nicoise-Salad-5-260x390.jpg,"['DF', 'GF', 'HP', 'HF', 'MP', 'W']",5,494.0,"I used salmon in place of tuna in this variation of the classic French Niçoise salad! This composed salad contains olives, artichokes, potatoes, green beans, and a whole-grain mustard vinaigrette."
64,Slow Cooker Pulled Pork,https://www.skinnytaste.com/wp-content/uploads/2023/06/pulled-pork-06-260x390.jpg,"['DF', 'GF', 'KF', 'SC']",7,203.0,"This easy, “set it and forget it” Slow Cooker Pulled Pork comes out so tender and juicy, made from scratch with my homemade BBQ sauce. "
65,Greek Orzo Salad,https://www.skinnytaste.com/wp-content/uploads/2024/05/Greek-Orzo-Salad-8-260x390.jpg,"['MP', 'Q', 'V']",5,173.0,This Greek Orzo Salad recipe is a light and flavorful pasta salad that’s delicious as a side dish or main dish. It’d be perfect with anything you’re grilling this summer!
66,Coconut Chicken Rice Bowl,https://www.skinnytaste.com/wp-content/uploads/2024/05/Coconut-Chicken-Rice-Bowls-12-260x390.jpg,"['DF', 'GF', 'HP', 'MP', 'Q']",8,429.0,"This quick and easy high-protein Coconut Chicken Rice Bowl is perfect for lunch or dinner for my gluten-free, dairy-free friends!"
67,Fish en Papillote,https://www.skinnytaste.com/wp-content/uploads/2024/05/Branzino-Parchment-Packets-7-260x390.jpg,"['DF', 'GF', 'HP', 'HF']",3,383.0,"Mediterranean baked Fish en Papillote topped with a beans, Castelvetrano olives, artichoke hearts, cherry tomatoes, and fresh herbs."
68,Eton Mess,https://www.skinnytaste.com/wp-content/uploads/2024/05/Eton-Mess-10-260x390.jpg,"['KF', 'Q']",6,109.0,"Eton Mess is a classic British dessert made with berries (I used strawberries), whipped cream, and crushed vanilla meringue cookies. You can assemble it in one large bowl or layer it in individual glasses."
69,Thai Fried Rice,https://www.skinnytaste.com/wp-content/uploads/2008/09/Thai-Fried-Rice-12-260x390.jpg,"['DF', 'GF', 'HP', 'Q']",7,347.0,"Thai fried rice gets it’s unique flavor from jasmine rice, fish sauce, soy sauce and chili peppers. Use your favorite protein like chicken, shrimp, or tofu."
70,35 Perfect Last-Minute Mother’s Day Gifts That She Will Love,https://www.skinnytaste.com/wp-content/uploads/2024/04/Brightland-Essentials-260x390.jpg,[],,,"Choosing something special for your mom for Mother’s Day can be a bit challenging. She seems to have it all, but there’s always something special you can still get her! That’s why I’ve rounded up the best Mother’s Day gifts that I would even love to receive myself this year, including some of my favorite cooking tools and fashion and beauty products."
71,Air Fryer Turkey Meatloaf,https://www.skinnytaste.com/wp-content/uploads/2024/05/Air-Fryer-Turkey-Meatloaf-7-260x390.jpg,"['AF', 'DF', 'FM', 'GF', 'HP', 'MP', 'Q']",7,252.0,"You can’t beat the ease and convenience of air fryer turkey meatloaf—it’s perfectly moist and cooks in half the time, making it a game changer for weeknight dinners!"
72,Strawberry Rhubarb Crisp,https://www.skinnytaste.com/wp-content/uploads/2012/05/Strawberry-Rhubarb-Crisp-20-1-260x390.jpg,['GF'],9,219.0,"Warm strawberry rhubarb crisp with a dollop of whipped cream might just be the best easy spring dessert! Tart rhubarb and sweet strawberries are the perfect combination, especially with a cinnamon-spiced oat topping."
73,Green Curry Noodles,https://www.skinnytaste.com/wp-content/uploads/2024/04/Green-Curry-Noodles-9-260x390.jpg,"['DF', 'GF', 'HP', 'V']",9,346.0,"This simple Thai-inspired Green Curry Noodle recipe uses a creamy coconut sauce with tofu, Thai green curry paste, and vegetables. It’s vegan, gluten-free and anti-inflammatory."
74,Green Goddess Potato Salad,https://www.skinnytaste.com/wp-content/uploads/2024/04/Green-Goddess-Potato-Salad-7-1-260x390.jpg,"['GF', 'V']",3,141.0,"Green Goddess Potato Salad made with red potatoes, scallions, capers, radishes, marinated artichokes in a creamy, green goddess dressing."
75,18 Easy Taco Recipes,https://www.skinnytaste.com/wp-content/uploads/2024/04/Easy-Taco-Recipes-260x390.png,['KF'],,,"Turn every night into taco night with these easy taco recipes! I’ve rounded up my favorite healthy taco ideas featuring fresh, flavorful ingredients whether you’re craving chicken tacos, fish tacos, vegetarian tacos, and more."
76,Baked Steelhead Trout,https://www.skinnytaste.com/wp-content/uploads/2024/04/Baked-Steelhead-Trout-7-260x390.jpg,"['DF', 'GF', 'HP', 'LC']",1,242.0,"This easy Baked Steelhead Trout recipe is quick, flavorful, and delicious! It’s roasted with lemons, lemon zest, and capers."
77,Almond Cake,https://www.skinnytaste.com/wp-content/uploads/2015/05/Almond-Cake-19-260x390.jpg,"['DF', 'GF', 'KF', 'V']",6,179.0,"The best flour-less almond cake recipe ever! It’s gluten-free, with a fantastic light texture, and it doesn’t even need any oil or butter. Best of all, you only need 5 ingredients to make it!"
78,Chicken Saltimbocca,https://www.skinnytaste.com/wp-content/uploads/2010/05/Lighter-Chicken-Saltimbocca-6-2-260x390.jpg,"['FM', 'GF', 'HP', 'LC', 'Q']",3,155.2,Chicken Saltimbocca is made with pounded chicken breasts stuffed with prosciutto and sage in a light white wine sauce.
79,Italian Shrimp Salad,https://www.skinnytaste.com/wp-content/uploads/2024/04/Italian-Shrimp-Salad-6-260x390.jpg,"['DF', 'HP', 'LC', 'MP', 'Q', 'W']",4,198.0,"This garlicky Italian Shrimp Salad recipe is loaded with shrimp, celery, and a mix of bold Italian olives, all brightened with a lemony dressing."
80,Cream of Asparagus Soup,https://www.skinnytaste.com/wp-content/uploads/2016/02/creamyasparagussoup-260x390.jpg,"['GF', 'KF', 'LC', 'Q', 'V']",1,81.0,"I LOVE cream of asparagus soup, it’s pure comfort in a bowl and so simple to make. This recipe is made with just 5 ingredients, not counting salt and pepper and is ready under 25 minutes!"
81,Ground Turkey Tacos,https://www.skinnytaste.com/wp-content/uploads/2024/04/Ground-Turkey-Tacos-13-260x390.jpg,"['HF', 'KF', 'MP']",11,399.0,"The BEST Ground Turkey Tacos from scratch for a healthy, quick and easy taco dinner the whole family will love!"
82,Braised Brisket with Potatoes and Carrots,https://www.skinnytaste.com/wp-content/uploads/2012/04/Braised-Brisket-with-Potatoes-and-Carrots-260x390.jpg,"['DF', 'GF', 'KF']",11,293.0,"This is the BEST Braised Brisket recipe slow cooked in the oven with potatoes, carrots, and onions. It comes out incredibly tender and flavorful for a Passover or Hanukkah meal, or any occasion."
83,Protein Waffles,https://www.skinnytaste.com/wp-content/uploads/2021/03/Protein-Waffles-1-1-260x390.jpg,"['GF', 'HP', 'KF', 'Q', 'V']",3,121.0,"These high protein waffles are made with cottage cheese, oat flour and eggs. So good you’ll never make them any other way!"
84,Pad Thai,https://www.skinnytaste.com/wp-content/uploads/2012/06/Shrimp-Pad-Thai-on-the-Lighter-Side-10-260x390.jpg,"['DF', 'GF', 'KF', 'Q']",9,420.0,"Who needs takeout when this easy Pad Thai recipe is ready in just 25 minutes? My lightened up version has that signature sweet-and-tangy flavor, along with rice noodles, bean sprouts, tender shrimp, and scrambled eggs. Customize it with your favorite protein!"
85,Chicken Pasta Primavera,https://www.skinnytaste.com/wp-content/uploads/2024/03/Chicken-Pasta-Primavera-14-260x390.jpg,"['FM', 'GF', 'HP', 'HF']",7,369.0,"One-Pot, Creamy Chicken Pasta Primavera made with lean chicken breast, spring veggies, and a light cream sauce. A delicious, high-protein dinner idea!"
86,Turmeric Garlic Shrimp with Cabbage-Mango Slaw,https://www.skinnytaste.com/wp-content/uploads/2015/05/TurmericGarlicShrimpwithCabbageMangoSlaw-260x390.jpg,"['DF', 'GF', 'HP', 'LC', 'Q', 'W']",2,228.0,"Tons of flavor in this quick, anti-inflammatory turmeric garlic shrimp dish! The perfect balance of flavors – ready in under 30 minutes."
87,Grilled Salmon Bruschetta with Avocado,https://www.skinnytaste.com/wp-content/uploads/2022/07/Grilled-Salmon-Bruschetta-6-260x390.jpg,"['GF', 'HP', 'LC', 'Q', 'W']",3,340.5,"Grilled Salmon Bruschetta with Avocado is my go-to summer recipe, it’s so easy, fresh and flavorful, a must try!"
